studentId,semester,name,dayOfWeek,week,period,teacher,weeks,location,courseType
202101001,2025-1,数据结构,星期一,1,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,2,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,3,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,4,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,5,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,6,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,7,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,数据结构,星期一,8,01-02,王教授,1-8周,教A201,必修课
202101001,2025-1,操作系统,星期二,1,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,2,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,3,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,4,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,5,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,6,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,7,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,操作系统,星期二,8,03-04,刘教授,1-8周,教B305,必修课
202101001,2025-1,计算机网络,星期三,1,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,2,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,3,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,4,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,5,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,6,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,7,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,计算机网络,星期三,8,05-06,陈教授,1-8周,教A301,必修课
202101001,2025-1,算法设计与分析,星期四,1,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,2,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,3,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,4,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,5,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,6,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,7,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,算法设计与分析,星期四,8,07-08,周教授,1-8周,机房C303,选修课
202101001,2025-1,人工智能导论,星期五,1,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,2,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,3,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,4,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,5,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,6,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,7,09-10,郑教授,1-8周,教B201,选修课
202101001,2025-1,人工智能导论,星期五,8,09-10,郑教授,1-8周,教B201,选修课
202101002,2025-1,数据结构,星期一,1,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,2,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,3,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,4,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,5,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,6,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,7,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,数据结构,星期一,8,01-02,王教授,1-8周,教A201,必修课
202101002,2025-1,操作系统,星期二,1,03-04,刘教授,1-8周,教B305,必修课
202101002,2025-1,操作系统,星期二,2,03-04,刘教授,1-8周,教B305,必修课
202101002,2025-1,操作系统,星期二,3,03-04,刘教授,1-8周,教B305,必修课
