id,title,url,date
1,关于2025-2026学年第一学期期末考试安排的通知,https://jwc.bwgl.cn/announcement/20250601,2025-06-01
2,2025年暑期社会实践活动报名通知,https://jwc.bwgl.cn/announcement/20250528,2025-05-28
3,关于开展2025年度优秀学生奖学金评选工作的通知,https://jwc.bwgl.cn/announcement/20250520,2025-05-20
4,2025届毕业生学位授予仪式安排,https://jwc.bwgl.cn/announcement/20250515,2025-05-15
5,关于2025-2026学年第一学期选课的通知,https://jwc.bwgl.cn/announcement/20250510,2025-05-10
6,2025年春季学期校历调整通知,https://jwc.bwgl.cn/announcement/20250425,2025-04-25
7,关于组织参加2025年全国大学生计算机设计大赛的通知,https://jwc.bwgl.cn/announcement/20250420,2025-04-20
8,2025年劳动节放假安排,https://jwc.bwgl.cn/announcement/20250415,2025-04-15
9,关于开展2025年教师教学能力提升培训的通知,https://jwc.bwgl.cn/announcement/20250410,2025-04-10
10,2025年春季学期中期教学检查安排,https://jwc.bwgl.cn/announcement/20250405,2025-04-05
